eid,label_VISam,label_VISam,nb_channel_VISam,nb_channel_VISam,pid1,pid2
064a7252-8e10-4ad6-b3fd-7a88a2db5463,['probe00'],['probe00'],[32],[32],['8413c5c6-b42b-4ec6-b751-881a54413628'],['8413c5c6-b42b-4ec6-b751-881a54413628']
10fac7a1-919d-4ca7-83c4-4675bd8d9416,['probe00'],['probe00'],[80],[80],['594664af-9033-4651-861d-2be9277c9866'],['594664af-9033-4651-861d-2be9277c9866']
111c1762-7908-47e0-9f40-2f2ee55b6505,['probe01'],['probe01'],[44],[44],['eebcaf65-7fa4-4118-869d-a084e84530e2'],['eebcaf65-7fa4-4118-869d-a084e84530e2']
239dd3c9-35f3-4462-95ee-91b822a22e6b,['probe01'],['probe01'],[32],[32],['e40193d5-8158-40a1-924b-5a01ed2565dc'],['e40193d5-8158-40a1-924b-5a01ed2565dc']
3bcb81b4-d9ca-4fc9-a1cd-353a966239ca,"['probe00', 'probe01']","['probe00', 'probe01']","[60, 20]","[60, 20]","['d004f105-9886-4b83-a59a-f9173131a383', 'cc701ed3-84b6-4b8e-8390-2e3f54414b19']","['d004f105-9886-4b83-a59a-f9173131a383', 'cc701ed3-84b6-4b8e-8390-2e3f54414b19']"
4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b,['probe00'],['probe00'],[30],[30],['f86e9571-63ff-4116-9c40-aa44d57d2da9'],['f86e9571-63ff-4116-9c40-aa44d57d2da9']
687017d4-c9fc-458f-a7d5-0979fe1a7470,['probe00'],['probe00'],[50],[50],['f68d9f26-ac40-4c67-9cbf-9ad1851292f7'],['f68d9f26-ac40-4c67-9cbf-9ad1851292f7']
6a601cc5-7b79-4c75-b0e8-552246532f82,['probe00'],['probe00'],[78],[78],['532bb33e-f22f-454a-ba1f-561d1578b250'],['532bb33e-f22f-454a-ba1f-561d1578b250']
6c6b0d06-6039-4525-a74b-58cfaa1d3a60,['probe00'],['probe00'],[50],[50],['3fded122-619c-4e65-aadd-d5420978d167'],['3fded122-619c-4e65-aadd-d5420978d167']
73918ae1-e4fd-4c18-b132-00cb555b1ad2,['probe01'],['probe01'],[86],[86],['0851db85-2889-4070-ac18-a40e8ebd96ba'],['0851db85-2889-4070-ac18-a40e8ebd96ba']
