eid,label_VISp,label_VISp,nb_channel_VISp,nb_channel_VISp,pid1,pid2
032ffcdf-7692-40b3-b9ff-8def1fc18b2e,['probe00'],['probe00'],[106],[106],['d213e786-4b1c-477d-a710-766d69fa1ac1'],['d213e786-4b1c-477d-a710-766d69fa1ac1']
03cf52f6-fba6-4743-a42e-dd1ac3072343,['probe00'],['probe00'],[94],[94],['a3d13b05-bf4d-427a-a2d5-2fe050d603ec'],['a3d13b05-bf4d-427a-a2d5-2fe050d603ec']
09b2c4d1-058d-4c84-9fd4-97530f85baf6,['probe00'],['probe00'],[82],[82],['b78b3c42-eee5-47c6-9717-743b78c0b721'],['b78b3c42-eee5-47c6-9717-743b78c0b721']
0c828385-6dd6-4842-a702-c5075f5f5e81,['probe00'],['probe00'],[48],[48],['3d3d5a5e-df26-43ee-80b6-2d72d85668a5'],['3d3d5a5e-df26-43ee-80b6-2d72d85668a5']
0cf6d255-8f2f-463e-84fb-c54bacb79f51,['probe00'],['probe00'],[88],[88],['c5b9e063-f640-4936-b851-f7602cb6659b'],['c5b9e063-f640-4936-b851-f7602cb6659b']
111c1762-7908-47e0-9f40-2f2ee55b6505,['probe00'],['probe00'],[42],[42],['27bac116-ea57-4512-ad35-714a62d259cd'],['27bac116-ea57-4512-ad35-714a62d259cd']
158d5d35-a2ab-4a76-87b0-51048c5d5283,['probe00'],['probe00'],[58],[58],['b76f24ea-95b1-4a0e-95eb-9c39b1283c40'],['b76f24ea-95b1-4a0e-95eb-9c39b1283c40']
1dbba733-24a4-4400-9436-53f1bd8428e8,['probe01'],['probe01'],[12],[12],['22609d51-0a6a-425d-a3ef-eeb43a9ba350'],['22609d51-0a6a-425d-a3ef-eeb43a9ba350']
2584ce3c-db10-4076-89cb-5d313138dd38,['probe00'],['probe00'],[88],[88],['b114e7e0-92b3-43bb-9529-53860e52606d'],['b114e7e0-92b3-43bb-9529-53860e52606d']
35ed605c-1a1a-47b1-86ff-2b56144f55af,['probe01'],['probe01'],[24],[24],['85bdeae3-269b-4e39-bd9b-2b0d95aff2fa'],['85bdeae3-269b-4e39-bd9b-2b0d95aff2fa']
37e96d0b-5b4b-4c6e-9b29-7edbdc94bbd0,['probe01'],['probe01'],[20],[20],['50f1512d-dd41-4a0c-b3ab-b0564f0424d7'],['50f1512d-dd41-4a0c-b3ab-b0564f0424d7']
413a6825-2144-4a50-b3fc-cf38ddd6fd1a,['probe00'],['probe00'],[70],[70],['b9b101cf-24d3-4c2a-8464-bc91b9f0c767'],['b9b101cf-24d3-4c2a-8464-bc91b9f0c767']
41431f53-69fd-4e3b-80ce-ea62e03bf9c7,['probe01'],['probe01'],[116],[116],['a9c9df46-85f3-46ad-848d-c6b8da4ae67c'],['a9c9df46-85f3-46ad-848d-c6b8da4ae67c']
45ef6691-7b80-4a43-bd1a-85fc00851ae8,['probe01'],['probe01'],[60],[60],['578ca001-8cf5-4d30-b58f-1d574eaf808a'],['578ca001-8cf5-4d30-b58f-1d574eaf808a']
